Id;jmeno;prijmeni;datumNarozeni;obor;bodyPrijimacihoRizeni;prijat
551;Madel;Isaq;19.07.1997;2;33;false
552;Karlie;Retallick;02.03.2004;4;53;true
553;Hamel;Janes;28.09.1995;3;76;true
554;Ibbie;Cowpe;10.04.1997;6;14;true
555;Susan;Clethro;07.08.2004;5;87;true
556;Emelina;Bann;29.05.1995;7;97;true
557;Vitia;Thurlow;04.05.2002;7;22;true
558;Roderic;Mintoff;26.10.1995;3;64;false
559;Vanny;Topaz;13.02.1996;2;70;true
560;Blakelee;Hayden;05.10.1997;0;58;true
561;Karyl;Tessington;21.10.1999;1;0;false
562;Myra;Langhorn;08.11.2002;0;76;true
563;Faina;Poate;30.01.1998;7;15;true
564;Red;Hixley;07.02.2000;5;85;true
565;Berta;De Clairmont;26.03.2002;3;18;true
566;Cart;Bedlington;17.04.1995;5;62;true
567;Tonya;Simeoni;27.09.2004;6;10;false
568;Kitti;Brookz;19.03.1998;7;82;true
569;Sheri;Langland;11.03.2004;5;2;false
570;Jaquelin;Baybutt;20.09.1998;6;52;false
571;Ulises;Rintoul;29.04.2004;0;66;false
572;Winthrop;Nettles;19.04.2000;7;45;true
573;Larine;Minshaw;06.12.1998;1;48;true
574;Mehetabel;Ranyell;05.01.2003;7;0;false
575;Libbi;Srawley;13.07.1995;0;91;true
576;Shelley;Danick;04.07.1997;6;7;false
577;Gabi;Crow;01.05.2004;4;61;false
578;Miquela;Emmatt;24.07.1996;0;77;false
579;Boyce;Mulhall;24.01.1996;7;88;false
580;Gavrielle;de Clerk;18.05.1997;2;14;true
581;Pepito;Dunster;02.08.1995;0;16;false
582;Vally;Mayell;22.03.2000;3;2;false
583;Gerick;Maydway;27.11.2000;5;71;true
584;Frederique;Crookston;22.06.2004;7;61;true
585;Jordanna;MacCague;15.09.1997;5;85;false
586;Chariot;Bonner;25.05.2001;5;21;false
587;Joan;Lambol;24.11.1996;1;97;true
588;Sigfried;Spours;03.01.2003;0;98;false
589;Nahum;McGregor;16.01.1997;7;54;false
590;Maudie;Cuppleditch;30.05.1997;5;11;false
591;Bord;Quimby;30.07.2002;7;81;true
592;Emanuele;Whatling;22.10.1999;7;99;true
593;Orson;Grenkov;01.11.1996;6;42;true
594;Arda;Millin;24.06.1997;5;7;false
595;Deerdre;Element;29.03.1996;4;100;true
596;Trevar;Challen;16.10.2002;3;22;false
597;Phaedra;Dudny;15.11.2000;0;6;true
598;Celesta;O' Byrne;12.07.2002;3;5;true
599;Jermayne;Lackeye;03.04.2004;5;67;false
600;Tobe;Glasper;19.01.2003;3;84;true
601;Virgie;Whordley;12.03.2001;3;43;true
602;Collen;Toplis;26.12.2004;0;83;false
603;Chandler;Fleckney;09.08.2001;2;62;false
604;Rowan;Renfrew;24.04.1997;3;22;false
605;Porty;Rany;13.03.2000;6;75;false
606;Arel;Ager;25.01.2002;7;41;true
607;Desiree;Folomin;20.06.1998;7;61;false
608;Lizzy;Dhenin;27.06.1999;1;7;true
609;Paolo;Duckerin;07.08.1996;6;43;false
610;Omar;Bearman;09.08.2004;6;75;true
611;Hetty;Geraldi;23.01.2002;1;1;false
612;Thatch;Ivers;25.11.1998;4;16;false
613;Ettie;Ilyunin;24.02.2003;2;75;false
614;Emalia;Redgate;22.10.1995;4;53;false
615;Tiertza;Manthorpe;17.06.2000;7;21;false
616;Alie;Minchi;16.11.2004;5;92;true
617;Nixie;Gersam;27.06.2000;0;85;false
618;Kayne;Tuckwood;16.07.2004;1;29;false
619;Tobit;Hartwright;29.09.1998;7;59;false
620;Barbee;Scholl;14.12.1996;2;53;true
621;Lindsay;Jowett;02.05.1998;4;70;false
622;Davon;Drane;24.09.1999;7;28;true
623;Meggy;Szymanowski;26.01.2000;2;43;true
624;Vlad;Moquin;27.04.2002;2;79;false
625;Brit;Giannassi;12.09.2003;2;87;true
626;Kari;Jacqueme;16.08.1996;0;21;false
627;Loren;Gammidge;03.06.2000;6;88;false
628;Justina;Barcke;10.09.2004;4;99;false
629;Allegra;Prestidge;13.03.2000;7;39;false
630;Liam;Pane;09.03.2000;2;36;false
631;Diana;Sillick;17.08.2003;5;89;false
632;Thebault;Tancock;20.10.1995;3;46;false
633;Egon;Kurt;02.01.2001;2;15;true
634;Rodrigo;Crispe;27.04.2004;3;97;false
635;Briney;Marcone;30.07.2002;6;67;false
636;Paige;Slorance;15.03.1999;6;45;true
637;Nerita;Leatt;22.08.2003;7;46;true
638;Farrel;Laphorn;09.06.1999;0;12;true
639;Jeannie;Giaomozzo;11.03.1998;2;63;false
640;Kerrill;Tremathick;16.04.2001;5;95;false
641;Derek;Cranage;27.07.2003;2;18;false
642;Maximilien;Grimolbie;03.05.2002;4;3;true
643;Dorree;Skamell;11.05.1995;7;86;true
644;Julita;Augustine;07.10.1996;6;86;false
645;Berkley;Skeen;28.01.2002;2;96;true
646;Sully;Plunkett;26.12.2000;2;86;false
647;Alleen;Matteoni;01.08.2000;2;45;true
648;Pet;Kroin;13.08.1999;4;18;true
649;Gerda;O'Scannill;01.12.1996;5;44;true
650;Ilse;Grinikhinov;27.03.1998;1;68;true
651;Lyman;Wrigley;20.12.1999;1;90;true
652;Nada;Lindman;14.04.1999;3;68;true
653;Gunilla;Turneaux;16.07.2001;5;81;false
654;Philip;Jodrellec;26.02.2004;5;48;true
655;Fenelia;Retallick;13.07.2002;4;85;false
656;Elsbeth;Giacaponi;04.01.2001;2;3;false
657;Rose;Macallam;30.05.1999;0;50;true
658;Tore;Kinane;13.08.2000;6;96;false
659;Calhoun;Spada;02.08.1995;7;43;false
660;Ernest;Fleckney;28.01.1996;2;68;true
661;Charmaine;Spinney;14.05.1996;1;73;true
662;Opal;Scroggins;28.09.2004;2;79;false
663;Celeste;Tithecote;31.08.1995;0;56;true
664;Fay;Cowans;02.06.1997;0;76;true
665;Valida;Ganter;19.10.1995;0;9;false
666;Saidee;Shoubridge;29.05.1996;0;52;true
667;Tommie;Derrington;13.09.1999;1;73;false
668;Maddie;Jirusek;31.12.1998;4;93;false
669;Maryanne;Gervaise;30.05.1999;0;78;false
670;Aurora;Matussevich;25.09.2002;5;46;false
671;Michel;Blackie;22.02.2000;1;50;true
672;Wilhelm;Arnaudot;08.04.1997;1;20;true
673;Wynny;Gasson;02.09.2001;6;25;true
674;Nikolas;Gowdridge;27.04.1995;5;77;false
675;Giffard;Gerler;31.08.1996;0;87;false
676;George;Pinar;11.07.1999;1;68;false
677;Florenza;Grzelewski;28.08.2001;2;2;false
678;Ricky;Glynne;01.05.1995;6;96;false
679;Maryrose;Woodwing;17.08.1998;6;28;false
680;Michael;Dysart;06.10.1999;0;51;false
681;Sephira;Vennings;17.12.1997;2;41;false
682;Manya;Jedraszek;09.02.1998;4;77;true
683;Carey;Bradick;25.08.1998;1;82;true
684;Sybila;Burgess;13.10.1995;7;93;false
685;Netti;Colcutt;23.08.1997;6;60;false
686;Hunfredo;Stredder;20.07.2000;1;63;false
687;Alyssa;Murdie;19.04.2000;5;83;false
688;Shelby;Rohmer;10.08.1998;0;41;true
689;Pryce;Sheahan;28.06.2002;6;65;true
690;Hercules;Havick;11.04.2002;4;57;true
691;Frazer;Ludlamme;04.02.2001;4;6;true
692;Arlin;Damp;17.01.2004;6;44;true
693;Ripley;Gude;11.07.1998;3;13;true
694;Dunstan;Kitchin;22.09.1998;7;93;true
695;Kristyn;Gething;06.04.2003;2;29;false
696;Zachery;Skeeles;02.07.1999;0;45;true
697;Edi;Kings;15.02.2004;1;49;false
698;Pace;Juppe;21.03.2002;4;27;true
699;Zora;Kensy;27.02.1995;2;4;true
700;Gwendolen;Dainton;29.07.1997;2;25;true
701;Jenilee;Heak;05.08.2004;5;8;true
702;Ernest;Sreenan;17.09.1996;1;46;false
703;Ainslie;Ballston;07.12.2000;2;30;true
704;Kennie;Summersett;22.10.1997;0;48;false
705;Christine;Stuehmeier;05.12.2001;5;73;false
706;Ava;Applewhite;12.01.2000;0;93;true
707;Frank;Allmann;20.12.1996;0;72;false
708;Lily;MacCome;16.05.1999;1;33;true
709;Isabella;Notti;21.03.1995;5;77;false
710;Alessandro;Siebert;25.10.2004;3;22;true
711;Janis;Filipczak;14.01.2001;6;6;true
712;Riannon;Wannan;21.02.2002;6;93;true
713;Bernardine;Woolerton;02.10.2001;5;60;false
714;Ingaberg;Gallanders;14.05.2004;3;4;true
715;Cordell;Frammingham;01.09.2003;2;56;true
716;Melba;Martschke;19.10.2001;2;4;false
717;Datha;Redmell;01.03.1995;6;94;false
718;Chad;Glowacz;03.04.1998;3;96;true
719;Domini;Hultberg;27.04.1995;5;64;true
720;Dotty;Springett;09.04.1999;0;31;false
721;Sibella;Surgeon;03.06.1996;4;58;false
722;Christos;Druett;25.04.2004;3;57;false
723;Gray;Thon;23.04.2003;3;68;true
724;Angel;Woolley;14.02.2003;7;33;true
725;Abbi;Fountain;15.10.2004;1;23;true
726;Gracie;Wreiford;08.05.1996;5;39;false
727;Stanwood;Maffulli;09.07.1996;0;23;false
728;Constancy;Roostan;29.09.1996;2;87;true
729;Tiffani;Tribble;16.08.1997;6;75;true
730;Ari;Kreutzer;02.04.1996;2;17;true
731;Shara;Whitwham;25.01.2005;6;87;true
732;Taffy;Perren;08.04.2000;6;91;true
733;Rodrick;Worswick;20.01.1998;3;45;true
734;Ruthe;Gozzett;26.06.2004;2;76;false
735;Zack;Dawe;25.12.1995;7;63;true
736;Alecia;Josilowski;10.12.2001;3;9;false
737;Daphna;Scamerdine;13.09.2003;5;82;false
738;Mateo;Waryk;30.01.1998;2;87;true
739;Anatollo;Shoubridge;18.05.1999;6;59;false
740;Adda;Malinowski;24.03.1997;3;5;false
741;Trever;Grimmert;27.01.1996;1;30;false
742;Hinda;Monroe;24.06.1999;5;90;true
743;Mollie;Cregin;24.05.2003;3;10;true
744;Aleece;Dimitrescu;23.08.2000;5;52;false
745;Sebastiano;Halse;01.12.1997;0;53;false
746;Davine;Kline;06.05.2001;2;51;false
747;Emilee;Learmount;09.05.2001;7;7;false
748;Biron;Carlill;12.08.2002;3;14;true
749;Thorpe;Keneleyside;11.07.1995;4;40;true
750;Gayler;Flaverty;05.05.1997;3;71;false
751;Angelle;Baumadier;15.06.1996;3;59;false
752;Hadria;Hellin;07.05.2004;5;1;false
753;Alford;Skeldinge;06.04.1996;4;50;true
754;Gregoire;Simmig;11.08.1995;2;43;true
755;Rory;De Roos;22.10.1998;2;93;true
756;Roanne;Bevens;28.07.1999;5;42;false
757;Lynsey;Buzine;23.10.2003;1;16;false
758;Henry;De Robertis;12.08.1998;0;72;false
759;Shaughn;Dederich;28.03.1995;7;9;true
760;Kamila;Kemetz;03.03.2000;7;23;true
761;Annmaria;Hawkes;31.03.2004;5;19;true
762;Dee dee;Kewzick;14.08.2002;5;94;false
763;Norby;Jerrems;27.04.1999;6;66;true
764;Tarra;Renton;15.02.2000;6;96;true
765;Niall;Khristoforov;08.09.2001;4;91;false
766;Guinevere;Dayce;30.04.2000;6;75;false
767;Gunar;Have;14.10.1995;7;28;false
768;Annamaria;Trobey;13.03.1995;2;67;false
769;Edouard;Drewe;14.01.2001;3;14;false
770;Andree;Steynor;27.05.1996;7;86;false
771;Theodosia;Parzizek;04.06.1999;6;15;true
772;Ulises;MacCaughan;08.01.1998;4;16;false
773;Nettie;Hrinchenko;21.03.1997;4;57;false
774;Cameron;Presley;29.07.2000;6;95;false
775;Bear;Josefer;01.08.2002;5;66;true
776;Dulciana;Kinavan;05.02.2005;2;69;true
777;Kennith;O'Sherin;03.01.2003;1;53;false
778;Clarabelle;Mitchley;24.03.1996;2;5;true
779;Corny;Kilpatrick;21.11.1996;1;70;true
780;Garrott;Philipsohn;05.01.1997;4;59;false
781;Elladine;Aluard;09.08.2000;3;87;true
782;Arda;Biggen;30.09.2004;3;42;true
783;Alyda;Fylan;02.11.2004;3;48;false
784;Marinna;Baillie;04.11.1995;3;80;false
785;Elora;Hutfield;29.10.1999;5;91;true
786;Caprice;Mayer;22.12.1996;5;0;true
787;Nico;Tween;20.01.2003;6;32;true
788;Vikki;Lanmeid;07.07.1997;7;77;false
789;Benny;Daniellot;21.12.1999;2;62;false
790;Maire;Lettley;23.07.1996;7;15;true
791;Osbourn;Crowson;16.04.2004;0;1;false
792;Rollins;Harrell;08.11.1995;5;80;true
793;Laney;Sorrel;19.05.2001;3;43;true
794;Brewster;Stephens;29.01.2003;3;14;true
795;Jareb;Hiscocks;09.11.2001;5;56;true
796;Kordula;Gaskoin;27.07.2004;3;80;true
797;Corney;Tommasi;19.03.1998;5;13;true
798;Ashien;Records;04.03.1996;0;85;true
799;Jabez;Pilgrim;27.12.1998;0;56;true
800;Matias;Mityushin;21.10.2001;2;50;true
801;Dall;Wherrett;14.02.1999;0;38;true
802;Stella;Lowdiane;19.11.1999;0;98;true
803;Merwyn;Bartens;25.12.2000;4;87;false
804;Marcie;Banger;21.06.2002;0;84;false
805;Myrwyn;Putland;15.05.1997;7;55;false
806;Dickie;Mackin;15.12.2004;2;62;true
807;Devinne;Pigeon;03.01.1999;4;18;true
808;Maynard;Rushton;22.06.1996;6;82;false
809;Kerrin;Dewsbury;23.01.1996;3;97;true
810;Lexis;Stare;26.07.1998;5;40;true
811;Amie;Gilbert;06.12.1995;0;78;true
812;Lanny;Illing;10.03.2003;2;2;true
813;Hy;Kleanthous;01.06.2002;1;11;true
814;Lynelle;Jacquemy;27.10.2004;3;94;false
815;Roxanne;Wrightam;14.06.1996;0;77;false
816;Cairistiona;Nelsey;04.11.1997;1;86;false
817;Kath;Denisot;27.11.2000;5;94;true
818;Ambros;Hackin;16.03.2001;1;11;false
819;Mari;Lindl;09.02.1997;5;18;false
820;Forester;Bridgman;23.04.1999;2;67;true
821;Hew;Kahane;03.11.1998;0;77;false
822;Hyacintha;Normabell;06.12.1999;7;65;false
823;Milka;Engeham;03.02.1999;0;1;true
824;Mile;Vignal;22.08.2004;1;45;true
825;Cass;Jarlmann;15.09.1997;6;4;true
826;Chryste;Wiggins;19.11.1995;5;53;true
827;Tandi;Dingate;12.04.1999;5;94;false
828;Clare;Beartup;02.08.2003;3;11;false
829;Lianna;Claypole;29.08.2000;2;2;false
830;Vivyanne;Chaney;01.12.1998;2;22;false
831;Bradford;Mathet;28.09.2002;3;89;false
832;Jilly;Raleston;16.05.2004;5;39;true
833;Arron;Birchenhead;18.07.1997;0;45;false
834;Shawn;Druery;30.12.1997;1;54;false
835;Nannie;Earngy;18.11.1997;0;98;true
836;Hamnet;Llywarch;22.02.2004;0;94;true
837;Nike;Genever;18.04.2002;4;86;false
838;Jeannine;Endrici;30.11.1997;2;26;false
839;Jamey;Maeer;24.08.1999;5;16;false
840;Wilbert;McSporrin;26.09.1999;0;40;true
841;Bartram;Iskow;26.03.2004;3;41;true
842;Kermit;Sisse;03.07.2004;2;98;true
843;Bondy;Willard;23.05.1997;5;26;false
844;Conrade;Renny;26.03.1999;2;53;false
845;Normand;Penley;12.06.1997;5;17;true
846;Lucas;Bowbrick;06.12.2003;6;60;false
847;Amabel;Cosins;24.05.1995;6;72;false
848;Sherwin;Doogan;24.10.2000;0;20;true
849;Erika;Braisher;21.04.1997;0;69;true
850;Prent;Alentyev;07.01.2004;2;78;false
851;Jorry;Redborn;04.04.1995;4;68;false
852;Loreen;Batkin;06.03.2000;5;23;true
853;Biddie;Clemenson;09.10.1998;1;57;false
854;Isadora;Fussen;21.08.2002;2;18;true
855;Sofie;Cavilla;26.03.2000;0;18;false
856;Corny;Dartan;10.12.1996;0;23;true
857;Bryana;Frantzen;02.05.2001;6;57;false
858;Jordan;Huddart;07.07.2004;2;41;true
859;Lovell;Spraggon;15.07.1999;2;38;true
860;Vincenz;Lube;18.06.1997;0;27;false
861;Moses;Merriton;11.06.1996;1;40;true
862;Ara;Cousins;02.03.1996;7;87;false
863;Celene;Stoltz;09.03.1998;6;65;false
864;Greer;Anderl;28.10.2001;5;41;true
865;Joy;Espinha;17.03.2002;2;41;false
866;Ellene;Garza;11.02.2004;5;40;false
867;Colleen;Banbury;15.10.2004;2;51;true
868;Donaugh;Cory;28.04.2003;0;65;true
869;Lenette;Huband;11.10.2003;4;68;false
870;Delmor;Guys;09.04.1995;4;17;true
871;Petey;Crumpe;28.03.2004;5;92;true
872;Lonnie;Curl;15.06.2002;3;70;false
873;Buiron;Annand;26.05.2002;4;90;true
874;Whitaker;Lemin;06.12.1995;2;92;true
875;Sascha;Colafate;10.06.2004;1;60;false
876;Elaine;Paull;22.10.1996;6;100;false
877;Mikaela;Eadmeads;11.02.2000;2;55;true
878;Homer;Pedrozzi;12.11.1998;1;79;true
879;Florri;Ringe;28.10.2000;7;98;false
880;Moira;Asaaf;06.11.1997;5;49;true
881;Alain;Robertacci;29.08.2004;1;95;false
882;Giacopo;Scarffe;30.01.1998;1;75;true
883;Fiann;Pikesley;26.03.2004;2;37;false
884;Chester;Hazeup;09.07.2004;4;4;false
885;Dulcea;Marshfield;21.05.2000;0;95;true
886;Gale;O'Loghlen;22.11.1998;4;69;true
887;Bertram;Hasling;12.09.2000;3;82;false
888;Margot;Fouldes;15.05.1999;2;85;false
889;Desmund;Abry;29.05.2004;4;43;true
890;Cirillo;Colvin;31.10.1995;3;2;true
891;Briana;Dann;24.07.2004;5;71;true
892;Angil;Howson;19.12.2003;2;35;false
893;Howard;Poon;19.10.1997;5;35;false
894;Godfrey;Rengger;22.01.1999;2;45;true
895;Damian;Ainsley;23.01.2002;4;15;false
896;Hendrika;Waddoups;10.06.1998;7;65;false
897;Kath;Sperrett;03.07.2001;3;91;true
898;Tam;Fairchild;05.03.2002;6;75;true
899;Davide;Harriday;21.05.2001;3;95;false
900;Gilda;Shipman;03.05.1995;3;85;false
901;Ferd;Worrell;10.10.1995;7;44;true
902;Brok;Mitchelson;28.05.1995;3;43;false
903;Jessica;Bonallack;21.01.2001;4;18;false
904;Aurora;Hurleston;26.09.1996;4;36;false
905;Lester;Duffin;27.06.1999;0;74;false
906;Camellia;Jerrim;06.07.1998;1;79;false
907;Edyth;McCotter;21.03.2002;7;75;true
908;Oralie;Vanacci;18.08.1997;7;14;false
909;Julissa;Tottman;26.08.1997;7;34;false
910;Alexis;Rochelle;08.09.1997;0;69;true
911;Nevil;Abram;12.06.1995;1;45;true
912;Helena;Leeder;18.05.2004;5;78;false
913;Cece;Ximenez;11.08.2001;3;21;false
914;Queenie;Skellon;17.03.1995;5;33;false
915;Norbert;Boyack;04.04.1998;7;67;false
916;Lothaire;Raymont;05.02.2000;5;25;false
917;Karyl;Rawe;23.01.2002;7;15;false
918;Mary;Wernham;09.11.1999;0;94;true
919;Lara;Haughan;29.05.1998;3;25;true
920;Kori;Mundford;24.04.2004;7;4;true
921;Culver;MacNeilly;17.11.1995;3;6;true
922;Dacy;Lee;22.10.2001;6;64;true
923;Tabbie;Geistmann;05.12.2002;5;20;false
924;Constancy;Sieghard;29.11.2000;5;31;true
925;Binny;Okenden;08.06.2002;5;32;false
926;Culver;Tomsa;25.04.2002;5;73;false
927;April;Websdale;29.08.1996;2;20;true
928;Gabriell;Fosdike;07.12.2004;6;85;false
929;Mellisent;Malkie;09.11.1997;4;92;true
930;Boot;Defrain;07.01.2004;3;87;true
931;Forest;Colleck;07.03.1997;5;77;true
932;Dorie;Akid;01.02.1998;6;71;false
933;Charlie;Kenney;08.09.2000;7;77;true
934;Crissie;MacDavitt;04.03.2000;2;36;true
935;Roobbie;Blakemore;13.04.2001;1;60;false
936;Rosalynd;Rigglesford;29.04.2003;6;27;false
937;Cheri;Sillito;09.03.1999;1;34;false
938;Eva;Cheshir;12.11.1995;4;23;false
939;Alana;O'Hickee;16.03.1999;5;16;true
940;Winna;Skarin;04.03.1998;4;2;false
941;Clemmie;Kiehnlt;15.10.1998;3;21;true
942;Janela;Garatty;20.04.2001;0;27;true
943;Willa;Woodings;07.11.2002;2;22;false
944;Carling;Ramshaw;24.12.2003;5;61;true
945;Nevile;Bartoli;22.12.1997;4;50;false
946;Inglis;Tejada;03.02.1998;7;82;false
947;Bathsheba;Battabee;13.10.2002;2;10;false
948;Kare;Casebourne;16.12.1997;3;83;false
949;Doralynn;Muggleton;01.01.2001;3;24;false
950;Taffy;Browett;03.02.1996;7;100;false
951;Fraser;Old;27.12.2001;7;80;true
952;Tymothy;Livingstone;29.07.2004;5;60;true
953;Craggy;Kightly;21.04.2003;4;46;false
954;Lynette;Manby;10.11.2003;2;66;false
955;Shelby;Hancell;04.09.1995;3;79;false
956;Bax;Coche;08.07.2004;0;32;true
957;Valentine;Beeckx;13.12.1997;7;31;true
958;Aron;Dosedale;26.08.1999;3;12;false
959;Brantley;Revitt;27.09.2002;7;20;false
960;Svend;Tradewell;18.12.2000;4;100;true
961;Lita;Ivanchenkov;19.01.2004;6;64;true
962;Marlow;Petrushanko;21.06.1998;3;1;true
963;Sky;Teliga;19.03.1998;0;80;true
964;Don;Alflat;23.12.1997;1;54;true
965;Elna;Brandle;18.08.2003;0;50;false
966;Crichton;Caulcutt;11.02.1999;0;45;true
967;Lou;Rammell;09.09.1996;0;38;false
968;Court;Pfaffel;16.01.1997;5;28;true
969;Trefor;Godden;23.03.2000;6;32;false
970;Ada;Urlich;13.07.1995;2;43;false
971;Norrie;Gauchier;13.08.1998;7;97;false
972;Audrey;Jillett;17.04.2001;5;52;false
973;Konstantin;Elgood;30.01.2003;1;51;true
974;Mureil;O'Farrell;09.05.2000;0;60;true
975;Anestassia;Aldcorne;06.10.2003;6;15;false
976;Gale;Cheal;15.02.1999;5;9;false
977;Jaymee;Handke;06.07.1998;0;42;false
978;Emalee;Lerer;24.05.1999;6;83;false
979;Honoria;Albrook;04.07.2003;4;58;true
980;Eydie;Rheubottom;18.01.2000;6;33;false
981;Tris;Sansome;04.05.1997;4;70;false
982;Tymothy;Mynett;29.09.1996;6;0;false
983;Guilbert;Gowrie;03.03.2003;4;83;false
984;Shae;Rowberry;16.08.1996;2;69;false
985;Joellyn;Breznovic;18.05.1998;2;71;true
986;Donovan;Tilston;31.08.1998;4;20;true
987;Witty;O'Heyne;28.11.1996;4;38;false
988;Bil;Durban;07.01.2005;6;55;false
989;Amity;Vickress;20.02.1997;2;95;false
990;Meryl;Antowski;28.07.1995;0;94;false
991;Ashby;Heskin;09.07.2004;7;54;false
992;Shirl;Grafhom;23.03.1998;3;38;false
993;Neddie;Mott;28.09.2002;0;44;true
994;Fabio;Nuttall;02.08.1995;1;29;false
995;Trixy;Cottill;03.06.1998;0;94;true
996;Eugine;Ansteys;07.07.2003;5;63;true
997;Wilt;Faier;30.04.1996;5;26;true
998;Ilsa;MacCollom;25.01.2002;6;46;false
999;Kasper;Lawless;28.02.1998;1;32;true
1000;Aurore;Simmank;06.05.1998;3;18;true
